slot,count_cg,label_petir,t_500,t_700,t_850,z_1000,r_500,r_700,r_850,w_700,cape,msl,tcc,d2m,tcrw,u500,u850,v500,v850,sp,u10,v10,t2m
2022-01-06 09:00:00,3,1,267.03766,282.89194,291.50378,780.66797,81.178055,75.857574,83.760544,0.18758869,650.125,100906.94,0.863739,297.32767,0.017578125,-0.10676575,6.4464264,2.6887054,1.9547272,100483.875,3.0957642,0.72395325,301.19843
2022-01-06 12:00:00,0,0,267.63144,283.07953,291.84164,874.6797,84.30766,71.63542,75.53267,-0.11967182,413.375,101016.69,0.6694946,296.8924,0.00036621094,1.0649872,5.9188995,0.4427185,3.1437836,100593.81,1.4539032,1.189148,299.59528
2022-01-06 15:00:00,0,0,266.91357,282.40265,291.62112,1051.1523,92.53183,78.52458,73.97398,-0.026535034,621.875,101224.375,0.9215088,296.62366,0.004272461,2.0843353,5.673111,-0.3033142,3.8170776,100799.875,1.4017334,0.9958496,298.5144
2022-01-06 18:00:00,0,0,266.61493,282.2023,291.32706,1012.85156,87.624405,81.441574,75.41382,0.056269646,656.125,101181.375,0.948761,296.24268,0.0026855469,3.4638214,6.2615356,-0.04032898,3.6139832,100757.31,1.1835175,0.7720337,297.64636
2022-01-06 21:00:00,0,0,267.28543,282.43668,291.22702,885.66406,77.155334,77.59973,75.29155,-0.11076355,365.25,101034.94,0.5574646,295.86487,0,1.4983673,7.855728,2.0890808,4.0941315,100611.56,1.1622162,1.2637787,297.01282
2022-01-07 00:00:00,0,0,266.97778,281.9947,291.283,1048.2266,74.979355,74.45906,68.50203,-0.02531147,311.3125,101225.19,0.94226074,296.39606,0.00024414062,-0.715271,7.729965,5.6283264,4.0130463,100799.94,0.71144104,1.3970795,298.175
2022-01-07 03:00:00,0,0,266.92413,282.2932,291.13287,1105.1431,68.09982,69.37094,71.60582,-0.014998436,345.375,101281.19,1,296.0871,0.00012207031,-2.0475464,6.622299,6.7066803,3.265564,100857.94,2.4294586,0.7445679,303.57193
2022-01-07 06:00:00,0,0,267.64502,282.46674,291.30603,933.6863,61.468246,76.03711,78.20175,0.1472292,606.25,101078.44,0.97332764,296.4436,0.0012207031,-1.4209137,5.513611,4.664215,4.3982697,100657.94,3.5194092,0.09197998,304.74615
2022-01-07 09:00:00,48,1,267.1183,283.0011,292.17517,810.24023,82.91112,68.753006,67.337524,0.355628974375,684.625,100945.56,0.99035645,295.81464,0.009521484,0.9342499,6.2051697,2.5982666,4.4298152875,100523.375,2.7632904,1.7231293,303.15063
2022-01-07 12:00:00,0,0,266.9423,282.60782,292.1129,965.4375,87.34096,73.329025,69.11348,0.22951126,726.25,101119.69,0.9777527,296.61664,0.003540039,2.1864471,6.275635,1.4282837,4.4298152875,100696.5,1.8278351,0.9836426,300.6499
